,Movie name,IMDB_rating,Year_of_release
1,The Shawshank Redemption,9.3,1994
2,The Godfather,9.2,1972
3,The Dark Knight,9.0,2008
4,The Godfather Part II,9.0,1974
5,12 Angry Men,9.0,1957
6,The Lord of the Rings The Return of the King,8.9,2003
7,Pulp Fiction,8.9,1994
8,Schindlers List,8.9,1993
9,Inception,8.8,2010
10,Fight Club,8.8,1999
11,The Lord of the Rings The Fellowship of the Ring,8.8,2001
12,Forrest Gump,8.8,1994
13,Il buono il brutto il cattivo,8.8,1966
14,The Lord of the Rings The Two Towers,8.7,2002
15,The Matrix,8.7,1999
16,Goodfellas,8.7,1990
17,Star Wars Episode V  The Empire Strikes Back,8.7,1980
18,One Flew Over the Cuckoos Nest,8.7,1975
19,Hamilton,8.6,2020
20,Gisaengchung,8.6,2019
21,Interstellar,8.6,2014
22,Cidade de Deus,8.6,2002
23,Sen to Chihiro no kamikakushi,8.6,2001
24,Saving Private Ryan,8.6,1998
25,The Green Mile,8.6,1999
26,La vita è bella,8.6,1997
27,Se7en,8.6,1995
28,The Silence of the Lambs,8.6,1991
29,Star Wars,8.6,1977
30,Seppuku,8.6,1962
31,Shichinin no samurai,8.6,1954
32,Its a Wonderful Life,8.6,1946
33,Joker,8.5,2019
34,Whiplash,8.5,2014
35,The Intouchables,8.5,2011
36,The Prestige,8.5,2006
37,The Departed,8.5,2006
38,The Pianist,8.5,2002
39,Gladiator,8.5,2000
40,American History X,8.5,1998
41,The Usual Suspects,8.5,1995
42,Léon,8.5,1994
43,The Lion King,8.5,1994
44,Terminator 2 Judgment Day,8.5,1991
45,Nuovo Cinema Paradiso,8.5,1988
46,Hotaru no haka,8.5,1988
47,Back to the Future,8.5,1985
48,Once Upon a Time in the West,8.5,1968
49,Psycho,8.5,1960
50,Casablanca,8.5,1942
51,Modern Times,8.5,1936
52,City Lights,8.5,1931
53,Capharnaüm,8.4,2018
54,Kimi no na wa,8.4,2016
55,Dangal,8.4,2016
56,SpiderMan Into the SpiderVerse,8.4,2018
57,Avengers Endgame,8.4,2019
58,Avengers Infinity War,8.4,2018
59,Coco,8.4,2017
60,Django Unchained,8.4,2012
61,The Dark Knight Rises,8.4,2012
62,3 Idiots,8.4,2009
63,Taare Zameen Par,8.4,2007
64,WALLE,8.4,2008
65,The Lives of Others,8.4,2006
66,Oldeuboi,8.4,2003
67,Memento,8.4,2000
68,Mononokehime,8.4,1997
69,Once Upon a Time in America,8.4,1984
70,Raiders of the Lost Ark,8.4,1981
71,The Shining,8.4,1980
72,Apocalypse Now,8.4,1979
73,Alien,8.4,1979
74,Tengoku to jigoku,8.4,1963
75,Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb,8.4,1964
76,Witness for the Prosecution,8.4,1957
77,Paths of Glory,8.4,1957
78,Rear Window,8.4,1954
79,Sunset Blvd,8.4,1950
80,The Great Dictator,8.4,1940
81,Jagten,8.3,2012
82,Inglourious Basterds,8.3,2009
83,Eternal Sunshine of the Spotless Mind,8.3,2004
84,Requiem for a Dream,8.3,2000
85,American Beauty,8.3,1999
86,Good Will Hunting,8.3,1997
87,Toy Story,8.3,1995
88,Braveheart,8.3,1995
89,Reservoir Dogs,8.3,1992
90,Full Metal Jacket,8.3,1987
91,Aliens,8.3,1986
92,Amadeus,8.3,1984
93,Star Wars Episode VI  Return of the Jedi,8.3,1983
94,Das Boot,8.3,1981
95,2001 A Space Odyssey,8.3,1968
96,Vertigo,8.3,1958
97,Singin in the Rain,8.3,1952
98,Ladri di biciclette,8.3,1948
99,Citizen Kane,8.3,1941
100,M  Eine Stadt sucht einen Mörder,8.3,1931
