,job_titles,job_location,company_name,experience_required
0,NiFi Data Analyst,Bengaluru,Capgemini Technology Services India Limited,4-6 Yrs
1,Senior Analyst-Data Science,Bengaluru,Accenture Solutions Pvt Ltd,5-8 Yrs
2,Associate - Data Analyst ( Revenue Planning and Management),Bengaluru,Myntra Designs Pvt. Ltd.,2-4 Yrs
3,Data Research Analyst,"Delhi NCR, Bengaluru",Headhunters Point,1-6 Yrs
4,Business Data Analyst,Bengaluru / Bangalore,ASM Enterprise Solutions Private Limited,5-8 Yrs
5,Data Analyst Analyzing,Bengaluru,Cistup Indian Institute of Science,2-5 Yrs
6,Market Research Data Analyst,Bengaluru,Robas Research,2-5 Yrs
7,Data Analyst,"Pune, Mumbai, Bengaluru",TresVista Financial,0-1 Yrs
8,Data Analyst ( SAS / R /Python ) openings,"Chennai, Pune, Delhi NCR, Mumbai, Other International Location, Bengaluru, Hyderabad, Kolkata, onsite",ACHYUTAS SOFT PRIVATE LIMITED,0-5 Yrs
9,Data Analyst ( SAS / R /Python ) openings,"Chennai, Pune, Delhi NCR, Mumbai, Other International Location, Bengaluru, Hyderabad, Kolkata, onsite",ACHYUTAS SOFT PRIVATE LIMITED,5-10 Yrs
